orderID,productID,unitPrice,quantity,discount
5600,27,43.9,24,0.74
5601,21,10,18,0.77
5602,18,62.5,4,0.16
5603,72,34.8,17,0.39
5604,39,18,29,0.01
5605,20,81,12,0.38
5606,62,49.3,40,0.69
5607,65,21.05,33,0.68
5608,33,2.5,27,0.45
5609,17,39,8,0.12
5610,1,18,37,0.26
5611,28,45.6,40,0.62
5612,8,40,15,0.86
5613,27,43.9,20,0.42
5614,31,12.5,19,0.51
5615,1,18,23,0.84
5616,17,39,39,0.21
5617,46,12,17,0.2
5618,9,97,10,0.86
5619,25,14,7,0.62
5620,67,14,7,0.36
5621,31,12.5,15,0.49
5622,25,14,17,0.41
5623,11,21,26,0.88
5624,24,4.5,25,0.43
5625,31,12.5,4,0.79
5626,12,38,2,0.27
5627,30,25.89,26,0.19
5628,45,9.5,34,0.14
5629,16,17.45,4,0.45
5630,25,14,36,0.4
5631,69,36,38,0.86
5632,22,21,11,0.85
5633,75,7.75,12,0.63
5634,16,17.45,19,0.19
5635,43,46,25,0.84
5636,6,25,7,0.26
5637,24,4.5,38,0.06
5638,68,12.5,9,0.69
5639,16,17.45,35,0.03
5640,3,10,23,0.83
5641,69,36,16,0.79
5642,18,62.5,38,0.89
5643,2,19,15,0.84
5644,32,32,38,0.84
5645,40,18.4,18,0.56
5646,27,43.9,9,0.06
5647,75,7.75,6,0.4
5648,73,15,21,0.1
5649,34,14,31,0.05
5650,56,38,29,0.41
5651,56,38,40,0.25
5652,64,33.25,16,0.06
5653,26,31.23,7,0.41
5654,11,21,15,0.3
5655,14,23.25,36,0.44
5656,26,31.23,24,0.11
5657,47,9.5,27,0.48
5658,24,4.5,22,0.34
5659,7,30,36,0.67
5660,21,10,2,0.25
5661,18,62.5,1,0.64
5662,47,9.5,36,0.46
5663,71,21.5,15,0.84
5664,57,19.5,24,0.68
5665,75,7.75,33,0.53
5666,11,21,38,0.71
5667,30,25.89,30,0.33
5668,11,21,13,0.85
5669,40,18.4,17,0.51
5670,43,46,35,0.4
5671,55,24,34,0.38
5672,52,7,26,0.39
5673,37,26,24,0.59
5674,16,17.45,1,0.22
5675,70,15,37,0.36
5676,7,30,34,0.88
5677,37,26,24,0.51
5678,33,2.5,34,0.44
5679,32,32,24,0.47
5680,36,19,3,0.81
5681,1,18,17,0.82
5682,22,21,4,0.52
5683,60,34,29,0.39
5684,11,21,14,0.76
5685,13,6,33,0.39
5686,21,10,35,0.53
5687,29,123.79,11,0.09
5688,69,36,1,0.6
5689,39,18,11,0.55
5690,58,13.25,1,0.44
5691,22,21,27,0.32
5692,13,6,5,0.54
5693,4,22,21,0.7
5694,43,46,35,0.68
5695,39,18,34,0.51
5696,6,25,23,0.56
5697,15,15.5,1,0.76
5698,27,43.9,30,0.5
5699,31,12.5,33,0.28
5700,3,10,26,0.64
5701,38,263.5,32,0.42
5702,65,21.05,28,0.21
5703,44,19.45,18,0.77
5704,13,6,14,0.76
5705,18,62.5,4,0.84
5706,41,9.65,36,0.31
5707,26,31.23,30,0.51
5708,37,26,32,0.05
5709,41,9.65,26,0.78
5710,34,14,1,0.2
5711,58,13.25,10,0.71
5712,28,45.6,35,0.12
5713,38,263.5,30,0.62
5714,76,18,8,0.2
5715,49,20,35,0.54
5716,12,38,30,0.33
5717,20,81,39,0.32
5718,8,40,1,0.35
5719,39,18,32,0.53
5720,13,6,36,0.22
5721,47,9.5,2,0.02
5722,45,9.5,30,0.29
5723,56,38,17,0.2
5724,40,18.4,40,0.25
5725,12,38,8,0.11
5726,42,14,6,0.56
5727,28,45.6,37,0.65
5728,21,10,40,0.41
5729,15,15.5,13,0.71
5730,57,19.5,29,0.83
5731,6,25,4,0.29
5732,55,24,29,0.45
5733,11,21,8,0.29
5734,55,24,36,0.48
5735,13,6,17,0.32
5736,12,38,4,0.21
5737,51,53,4,0.07
5738,50,16.25,27,0.24
5739,8,40,5,0.69
5740,72,34.8,24,0.4
5741,57,19.5,18,0.88
5742,33,2.5,21,0.5
5743,45,9.5,17,0.63
5744,77,13,16,0.64
5745,14,23.25,7,0.9
5746,38,263.5,2,0.62
5747,43,46,34,0.01
5748,60,34,22,0.07
5749,56,38,27,0.16
5750,22,21,8,0.1
5751,75,7.75,30,0.01
5752,29,123.79,8,0.25
5753,49,20,34,0.09
5754,13,6,17,0.45
5755,71,21.5,30,0.59
5756,30,25.89,22,0.59
5757,62,49.3,20,0.44
5758,2,19,27,0.16
5759,34,14,22,0.77
5760,6,25,6,0.71
5761,3,10,11,0.2
5762,57,19.5,30,0.77
5763,74,10,1,0.8
5764,27,43.9,11,0.64
5765,23,9,10,0.83
5766,73,15,2,0.42
5767,8,40,29,0.68
5768,5,21.35,21,0.49
5769,39,18,21,0.17
5770,36,19,11,0.82
5771,20,81,4,0.01
5772,11,21,18,0.34
5773,48,12.75,34,0.27
5774,39,18,36,0.15
5775,8,40,5,0.2
5776,37,26,9,0.23
5777,40,18.4,36,0.25
5778,63,43.9,28,0.76
5779,73,15,34,0.11
5780,58,13.25,32,0.53
5781,35,18,15,0.83
5782,68,12.5,10,0.44
5783,34,14,1,0.57
5784,23,9,7,0.89
5785,55,24,31,0.48
5786,35,18,38,0.76
5787,54,7.45,16,0.22
5788,9,97,32,0.61
5789,29,123.79,9,0.31
5790,27,43.9,36,0.79
5791,65,21.05,40,0.33
5792,27,43.9,24,0.51
5793,26,31.23,15,0.56
5794,11,21,27,0.32
5795,68,12.5,4,0.65
5796,41,9.65,29,0.62
5797,47,9.5,15,0.52
5798,24,4.5,36,0.36
5799,76,18,24,0.63
5800,63,43.9,33,0.02
5801,6,25,34,0.81
5802,63,43.9,34,0.51
5803,25,14,34,0.54
5804,25,14,17,0.07
5805,54,7.45,28,0.44
5806,72,34.8,27,0.84
5807,64,33.25,36,0.73
5808,53,32.8,28,0.09
5809,8,40,25,0.74
5810,54,7.45,16,0.18
5811,71,21.5,10,0.58
5812,14,23.25,39,0.13
5813,47,9.5,13,0.39
5814,72,34.8,34,0.31
5815,46,12,9,0.31
5816,36,19,32,0.45
5817,25,14,20,0.62
5818,73,15,35,0.73
5819,72,34.8,39,0.21
5820,75,7.75,28,0.74
5821,36,19,28,0.88
5822,17,39,11,0.58
5823,46,12,3,0.14
5824,48,12.75,16,0.31
5825,17,39,34,0.15
5826,41,9.65,14,0.29
5827,51,53,17,0.65
5828,33,2.5,12,0.23
5829,49,20,29,0.76
5830,28,45.6,20,0.74
5831,64,33.25,33,0.63
5832,72,34.8,8,0.65
5833,36,19,40,0.8
5834,11,21,13,0.83
5835,65,21.05,19,0.65
5836,37,26,16,0.2
5837,19,9.2,37,0.02
5838,76,18,38,0.45
5839,48,12.75,37,0.89
5840,45,9.5,11,0.74
5841,73,15,35,0.44
5842,5,21.35,33,0.53
5843,12,38,35,0.55
5844,31,12.5,35,0.87
5845,38,263.5,18,0.17
5846,44,19.45,7,0.58
5847,46,12,18,0.2
5848,39,18,39,0.15
5849,24,4.5,29,0.21
5850,43,46,38,0.67
5851,14,23.25,37,0.23
5852,43,46,15,0.54
5853,10,31,4,0.1
5854,9,97,12,0.12
5855,47,9.5,17,0.05
5856,25,14,34,0.71
5857,77,13,22,0.51
5858,51,53,7,0.51
5859,48,12.75,5,0.44
5860,27,43.9,3,0.36
5861,54,7.45,39,0.32
5862,24,4.5,8,0.64
5863,30,25.89,16,0.49
5864,17,39,13,0.76
5865,58,13.25,15,0.15
5866,48,12.75,31,0.56
5867,41,9.65,1,0.1
5868,61,28.5,36,0.32
5869,73,15,9,0.47
5870,23,9,12,0.27
5871,44,19.45,10,0.18
5872,77,13,35,0.32
5873,55,24,3,0.59
5874,48,12.75,7,0.17
5875,23,9,6,0.45
5876,24,4.5,30,0.4
5877,58,13.25,34,0.36
5878,2,19,35,0.11
5879,38,263.5,20,0.82
5880,45,9.5,19,0.47
5881,9,97,23,0.31
5882,34,14,24,0.9
5883,73,15,27,0.7
5884,62,49.3,18,0.75
5885,6,25,21,0.28
5886,10,31,17,0.62
5887,50,16.25,34,0.53
5888,22,21,9,0.19
5889,30,25.89,23,0.42
5890,18,62.5,15,0.71
5891,77,13,33,0.13
5892,69,36,10,0.33
5893,8,40,5,0.6
5894,57,19.5,30,0.52
5895,57,19.5,17,0.48
5896,74,10,27,0.3
5897,61,28.5,34,0.53
5898,53,32.8,15,0.42
5899,4,22,7,0.65
5900,75,7.75,2,0.48
5901,39,18,38,0.21
5902,53,32.8,39,0.37
5903,39,18,3,0.12
5904,24,4.5,7,0.27
5905,73,15,35,0.66
5906,35,18,40,0.35
5907,60,34,10,0.16
5908,27,43.9,19,0.81
5909,70,15,32,0.02
5910,16,17.45,10,0.68
5911,75,7.75,19,0.19
5912,74,10,40,0.54
5913,19,9.2,17,0.62
5914,61,28.5,24,0.2
5915,41,9.65,26,0.78
5916,33,2.5,12,0.66
5917,64,33.25,35,0.14
5918,75,7.75,37,0.45
5919,44,19.45,32,0.36
5920,67,14,26,0.84
5921,26,31.23,33,0.01
5922,68,12.5,31,0.07
5923,16,17.45,7,0.5
5924,1,18,11,0.6
5925,1,18,3,0.34
5926,3,10,40,0.86
5927,60,34,16,0.27
5928,31,12.5,32,0.28
5929,37,26,20,0.57
5930,65,21.05,13,0.61
5931,41,9.65,12,0.12
5932,66,17,13,0.78
5933,69,36,17,0.07
5934,25,14,1,0.38
5935,27,43.9,21,0.08
5936,41,9.65,29,0.27
5937,31,12.5,33,0.89
5938,37,26,10,0.85
5939,17,39,8,0.72
5940,24,4.5,5,0.29
5941,55,24,25,0.27
5942,35,18,28,0.52
5943,75,7.75,37,0.38
5944,51,53,32,0.23
5945,72,34.8,9,0.2
5946,12,38,19,0.39
5947,12,38,3,0.49
5948,29,123.79,8,0.1
5949,54,7.45,8,0.49
5950,58,13.25,21,0.09
5951,7,30,31,0.57
5952,46,12,38,0.79
5953,69,36,21,0.14
5954,59,55,10,0.57
5955,9,97,22,0.73
5956,73,15,34,0.06
5957,41,9.65,24,0.12
5958,2,19,36,0.39
5959,1,18,25,0.07
5960,18,62.5,29,0.26
5961,51,53,12,0.67
5962,46,12,27,0.85
5963,39,18,18,0.69
5964,33,2.5,22,0.11
5965,46,12,11,0.03
5966,40,18.4,23,0.14
5967,69,36,18,0.7
5968,59,55,13,0.01
5969,60,34,4,0.03
5970,41,9.65,18,0.83
5971,35,18,28,0.69
5972,13,6,32,0.69
5973,22,21,13,0.49
5974,57,19.5,10,0.61
5975,70,15,29,0.87
5976,45,9.5,35,0.04
5977,38,263.5,27,0.4
5978,57,19.5,17,0.05
5979,12,38,25,0.32
5980,58,13.25,29,0.31
5981,64,33.25,28,0.02
5982,37,26,39,0.81
5983,5,21.35,21,0.73
5984,75,7.75,15,0.51
5985,76,18,33,0.01
5986,52,7,39,0.84
